Technology,Country/area,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Wind,World,Electricity capacity (MW),16925.6,23964.1,30728.1,38667.4,47682.3,58404.5,73158.2,91542.3,115555.6,150122.0,180852.1,219980.6,266866.2,299993.7,349202.5,416211.1,466956.9,514746.8,563659.3
Wind,World,Electricity generation (GWh),30924.8,37716.3,52418.9,63006.5,83567.8,102676.9,128905.7,168102.8,215764.0,270953.2,342091.9,432479.5,524489.1,635110.4,712027.4,828251.2,954657.8,1134451.1,
Wind,Africa,Electricity capacity (MW),133.4,133.4,139.7,150.2,232.8,236.8,324.6,466.8,552.0,738.9,861.3,991.5,1124.8,1739.0,2397.6,3318.5,3829.6,4576.5,5464.8
Wind,Africa,Electricity generation (GWh),172.6,412.8,451.7,465.9,636.6,799.5,804.9,987.2,1232.3,1493.8,2027.1,2421.2,2830.8,3522.3,5521.5,7695.9,10355.4,11722.1,
Wind,Algeria,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.2,10.2,10.2,10.0
Wind,Algeria,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.2,19.4,19.4,
Wind,Angola,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Angola,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Benin,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Benin,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Botswana,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Botswana,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Burkina Faso,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Burkina Faso,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Burundi,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Burundi,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Cabo Verde,Electricity capacity (MW),0.0,0.0,2.1,2.7,2.4,2.4,2.1,2.1,2.1,2.1,1.8,17.0,27.2,27.2,27.2,27.2,27.2,27.2,27.8
Wind,Cabo Verde,Electricity generation (GWh),4.5,3.7,5.7,5.4,6.4,6.5,7.4,6.9,5.5,4.7,2.0,15.6,63.0,76.0,82.6,78.8,76.9,76.3,
Wind,Cameroon,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Cameroon,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Cent Afr Rep,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Cent Afr Rep,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Chad,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.1
Wind,Chad,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,8.9,
Wind,Comoros,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Comoros,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Congo DR,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Congo DR,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Congo Rep,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Congo Rep,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Cote d Ivoire,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Cote d Ivoire,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Djibouti,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Djibouti,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Egypt,Electricity capacity (MW),69.0,69.0,69.0,69.0,145.0,145.0,230.0,310.0,390.0,435.0,550.0,550.0,550.0,550.0,550.0,750.0,750.0,750.0,1125.0
Wind,Egypt,Electricity generation (GWh),81.0,179.0,213.0,214.0,376.8,532.6,561.0,635.3,847.0,948.0,1159.0,1496.0,1563.5,1260.0,1332.0,1444.0,2058.0,2200.0,
Wind,Eq Guinea,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Eq Guinea,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Eritrea,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Wind,Eritrea,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Wind,Eswatini,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Eswatini,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Ethiopia,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,171.0,171.0,324.0,324.0,324.0,324.0
Wind,Ethiopia,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,192.0,356.0,526.3,499.0,786.0,782.0,
Wind,Gabon,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Gabon,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Gambia,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2
Wind,Gambia,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.6,0.1,0.1,0.1,0.1,0.1,0.1,
Wind,Ghana,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Ghana,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,
Wind,Guinea,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Guinea,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Guinea Bissau,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Guinea Bissau,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Kenya,Electricity capacity (MW),0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5.7,5.7,5.7,5.7,5.9,26.1,26.1,26.2,336.1
Wind,Kenya,Electricity generation (GWh),0.1,0.1,0.2,0.4,0.4,0.4,0.3,0.2,0.3,8.3,17.0,16.5,15.0,16.3,27.6,47.2,60.5,56.0,
Wind,Lesotho,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Lesotho,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Liberia,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Liberia,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Libya,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Libya,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Madagascar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Wind,Madagascar,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Wind,Malawi,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Malawi,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Mali,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Mali,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Mauritania,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.4,34.4,34.4,34.4,34.4
Wind,Mauritania,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.3,104.3,104.3,104.3,
Wind,Mauritius,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.7,1.3,1.3,1.3,1.3,1.3,1.3,10.7,10.6,10.6
Wind,Mauritius,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,1.5,2.5,2.8,3.6,3.6,3.2,2.7,18.0,14.6,
Wind,Mayotte,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Mayotte,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Morocco,Electricity capacity (MW),54.0,54.0,54.0,54.0,54.0,54.0,54.0,114.0,114.0,221.0,221.0,255.0,255.0,495.0,797.0,797.0,897.0,1017.0,1220.0
Wind,Morocco,Electricity generation (GWh),64.0,206.0,193.9,202.8,198.9,206.3,183.2,278.9,298.2,391.4,658.8,707.3,743.2,1371.4,1938.9,2534.6,3015.2,3050.2,
Wind,Mozambique,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Mozambique,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Namibia,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.2,5.2
Wind,Namibia,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,5.0,
Wind,Niger,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Niger,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Nigeria,Electricity capacity (MW),0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.2,2.2,2.2,2.2,2.2,3.2,3.2,3.2,3.2,3.2
Wind,Nigeria,Electricity generation (GWh),0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,
Wind,Reunion,Electricity capacity (MW),0.0,0.0,0.0,0.0,6.6,10.5,13.5,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,16.5,16.5,16.5
Wind,Reunion,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.1,0.3,4.3,11.8,15.0,15.5,16.9,11.7,18.2,15.1,15.7,16.0,18.5,14.0,
Wind,Rwanda,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Rwanda,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Saint Helena,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Saint Helena,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Sao Tome Prn,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Sao Tome Prn,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Senegal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Senegal,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Seychelles,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0
Wind,Seychelles,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,7.0,6.8,6.9,6.6,
Wind,Sierra Leone,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Sierra Leone,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Somalia,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.8,2.8,3.6,3.6
Wind,Somalia,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,3.9,4.9,4.9,6.2,
Wind,South Africa,Electricity capacity (MW),0.0,0.0,3.2,3.2,3.2,3.2,3.2,3.2,8.4,8.4,10.2,10.2,10.2,257.0,569.0,1079.0,1473.0,2094.0,2094.0
Wind,South Africa,Electricity generation (GWh),0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,22.0,22.0,27.0,27.0,27.0,36.8,1056.9,2484.1,3697.7,4924.0,
Wind,South Sudan,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,South Sudan,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Sudan,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Sudan,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Tanzania,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Tanzania,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Togo,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Togo,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Tunisia,Electricity capacity (MW),10.0,10.0,10.0,19.0,19.0,19.0,19.0,19.0,19.0,53.0,53.0,53.0,173.0,200.0,233.0,240.0,245.0,245.0,245.0
Wind,Tunisia,Electricity generation (GWh),23.0,24.0,30.0,33.4,43.6,42.4,37.7,42.9,39.4,97.5,138.6,109.2,196.3,357.8,507.0,448.0,474.0,449.0,
Wind,Uganda,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Uganda,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Westn Sahara,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Westn Sahara,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Zambia,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Zambia,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Zimbabwe,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Zimbabwe,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Asia,Electricity capacity (MW),1378.6,2140.0,2356.5,3546.5,5385.5,6879.8,10507.3,13991.9,20989.2,31307.9,46082.9,66019.2,82808.8,99542.5,124346.5,161798.6,184185.0,205029.0,229066.4
Wind,Asia,Electricity generation (GWh),2063.7,2565.5,3527.3,4467.8,6633.1,9154.1,12413.1,18579.1,27280.7,44678.5,71213.5,98458.8,133553.8,172097.0,196703.9,228801.2,291350.2,367743.9,
Wind,Afghanistan,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.4,0.4
Wind,Afghanistan,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,
Wind,Bangladesh,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.9,2.9,2.9,2.9
Wind,Bangladesh,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,2.9,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,
Wind,Bhutan,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6
Wind,Bhutan,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.1,
Wind,Brunei Darsm,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Brunei Darsm,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Cambodia,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Wind,Cambodia,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
Wind,China,Electricity capacity (MW),341.0,383.0,449.0,547.0,763.0,1060.0,2070.0,4200.0,8387.7,17599.4,29633.5,46354.6,61596.9,76730.5,96819.1,131047.7,148516.9,164374.5,184664.9
Wind,China,Electricity generation (GWh),615.0,749.0,873.0,1039.0,1332.0,1600.0,2800.0,5700.0,11400.0,24900.0,49071.1,71652.8,103012.8,138558.2,160205.5,185965.1,242387.7,305015.5,
Wind,China HK SAR,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,China HK SAR,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,China Mac SAR,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,China Mac SAR,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Chinese Taipei,Electricity capacity (MW),2.6,5.0,8.5,8.5,8.5,23.9,102.0,186.0,250.4,374.3,475.9,522.7,571.0,614.2,637.2,646.7,682.0,692.0,704.0
Wind,Chinese Taipei,Electricity generation (GWh),1.4,12.2,15.9,23.8,25.3,91.3,276.1,439.5,588.3,786.6,1026.3,1492.7,1413.5,1640.0,1500.5,1525.2,1457.1,1722.5,
Wind,India,Electricity capacity (MW),941.0,1563.0,1606.0,2461.0,3813.0,4433.9,6315.0,7844.5,10242.5,10925.0,13184.0,16179.0,17299.7,18420.4,22465.3,25088.2,28700.4,32848.5,35288.1
Wind,India,Electricity generation (GWh),1318.9,1536.9,2205.8,2550.6,3923.1,5561.9,6873.7,9387.0,11835.1,14595.0,16104.0,19528.1,23069.2,24640.0,27235.4,31872.9,36273.1,47669.8,
Wind,Indonesia,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,1.1,0.3,0.9,0.9,0.6,1.1,1.1,1.1,1.1,76.1
Wind,Indonesia,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.7,3.6,4.7,4.6,0.7,1.2,3.7,5.7,0.0,
Wind,Japan,Electricity capacity (MW),84.0,175.0,277.0,508.0,769.0,1227.0,1805.0,1527.0,1756.0,1997.0,2294.0,2419.0,2562.0,2646.0,2753.0,2808.0,3247.0,3483.0,3653.0
Wind,Japan,Electricity generation (GWh),108.0,251.0,414.0,826.0,1303.0,1751.0,2167.0,2614.0,2942.0,3613.0,4017.0,4677.0,4838.0,5187.0,5217.0,5580.0,6166.0,6490.0,
Wind,Kazakhstan,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0,52.8,71.8,98.2,112.4,121.5
Wind,Kazakhstan,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,4.5,13.3,131.7,275.0,339.8,
Wind,Korea DPR,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6
Wind,Korea DPR,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.1,
Wind,Korea Rep,Electricity capacity (MW),7.0,11.0,13.0,19.0,29.0,99.0,178.0,196.0,304.0,351.0,382.0,425.0,464.0,576.0,612.0,847.0,1067.0,1215.0,1382.6
Wind,Korea Rep,Electricity generation (GWh),17.0,13.0,15.0,25.0,47.0,130.0,239.0,376.0,436.0,685.0,817.0,863.0,917.0,1149.0,1146.0,1342.0,1683.0,2169.0,
Wind,Kyrgyzstan,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Kyrgyzstan,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Lao PDR,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Lao PDR,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Malaysia,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Malaysia,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Maldives,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Wind,Maldives,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
Wind,Mongolia,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.7,0.7,1.0,50.6,50.6,50.6,50.6,101.0,156.0
Wind,Mongolia,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.7,0.7,1.0,53.9,126.4,153.6,158.5,155.4,
Wind,Myanmar,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Myanmar,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wind,Nepal,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
Wind,Nepal,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,
Wind,Pakistan,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,56.2,106.1,205.6,308.4,590.7,789.2,1185.9
Wind,Pakistan,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.3,134.8,360.8,622.3,1059.8,1333.3,
Wind,Philippines,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,336.9,426.9,426.9,426.9,426.9
Wind,Philippines,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,17.5,53.2,57.8,61.4,64.4,61.7,88.2,75.3,65.7,152.1,748.4,975.2,1093.6,
Wind,Singapore,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Wind,Singapore,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,
Wind,Sri Lanka,Electricity capacity (MW),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,33.2,36.2,76.0,81.5,131.5,126.9,131.5,145.9,145.9
Wind,Sri Lanka,Electricity generation (GWh),3.4,3.5,3.6,3.4,2.7,2.4,2.3,2.3,3.2,3.5,53.2,91.6,146.8,234.6,272.4,343.2,345.1,367.2,
Wind,Tajikistan,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Tajikistan,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Thailand,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.1,5.1,5.6,7.3,111.7,222.7,224.5,233.9,507.0,627.8,1017.8
Wind,Thailand,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.5,1.0,3.9,5.0,17.2,351.3,396.0,328.0,345.0,1109.0,
Wind,Timor Leste,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Timor Leste,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Turkmenistan,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Turkmenistan,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Uzbekistan,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
Wind,Uzbekistan,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wind,Viet Nam,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,8.8,31.0,31.0,31.0,53.0,53.0,136.0,160.2,204.7,236.7
